id,SalePrice
1461,136599.19
1462,186920.84
1463,174417.27
1464,178973.44
1465,190148.16
1466,185620.11
1467,184955.62
1468,166031.17
1469,182039.47
1470,127361.76
1471,194282.95
1472,88607.164
1473,93205.984
1474,155539.92
1475,124729.07
1476,340871.28
1477,250941.92
1478,306267.75
1479,240962.08
1480,542829.94
1481,331271.38
1482,194367.75
1483,172064.83
1484,164604.88
1485,211410.44
1486,197335.9
1487,373263.1
1488,242432.17
1489,198328.58
1490,253732.42
1491,193926.73
1492,90571.49
1493,176415.27
1494,269111.7
1495,272399.8
1496,247110.33
1497,187062.08
1498,179995.22
1499,165868.3
1500,171510.77
1501,175637.2
1502,168314.47
1503,288787.62
1504,245920.62
1505,222676.83
1506,192371.98
1507,228984.7
1508,194995.0
1509,158987.06
1510,143355.64
1511,147407.16
1512,177993.22
1513,143257.55
1514,155624.22
1515,164624.25
1516,148257.67
1517,160224.33
1518,148039.8
1519,194754.08
1520,121629.22
1521,121709.836
1522,163598.94
1523,106577.54
1524,122409.086
1525,120406.914
1526,109889.055
1527,110308.28
1528,145849.78
1529,122364.54
1530,180228.19
1531,113701.9
1532,89926.21
1533,136753.22
1534,128509.62
1535,137742.83
1536,110279.22
1537,60063.188
1538,143720.4
1539,246074.33
1540,69930.56
1541,129307.81
1542,119366.21
1543,187898.5
1544,99480.42
1545,101567.47
1546,152665.25
1547,145133.69
1548,128387.21
1549,117209.45
1550,137038.23
1551,114736.01
1552,144340.33
1553,160668.12
1554,122963.414
1555,169780.72
1556,79744.02
1557,82075.9
1558,95244.45
1559,50282.87
1560,137155.11
1561,120884.18
1562,130103.83
1563,122752.06
1564,165617.28
1565,136567.19
1566,251290.11
1567,80831.18
1568,259191.95
1569,146653.03
1570,146570.22
1571,129493.53
1572,149916.69
1573,233418.48
1574,144197.52
1575,231438.86
1576,257785.75
1577,179887.23
1578,153312.78
1579,150150.52
1580,184877.83
1581,164565.16
1582,140079.06
1583,277239.8
1584,231677.22
1585,136934.95
1586,47318.652
1587,95555.79
1588,147635.5
1589,108989.664
1590,149409.38
1591,91353.82
1592,98232.05
1593,139210.17
1594,131828.97
1595,102853.75
1596,205202.81
1597,180604.83
1598,187673.02
1599,189616.78
1600,180504.61
1601,79827.86
1602,139659.86
1603,88017.48
1604,267767.4
1605,235623.58
1606,162170.28
1607,173854.5
1608,216200.06
1609,181070.2
1610,150590.03
1611,145008.06
1612,173747.02
1613,170539.73
1614,133934.23
1615,99829.89
1616,97041.195
1617,96872.16
1618,114877.24
1619,144310.03
1620,190756.25
1621,129989.89
1622,153600.72
1623,270435.2
1624,221809.61
1625,107511.47
1626,174620.81
1627,189522.52
1628,244852.28
1629,175165.3
1630,317976.44
1631,204615.69
1632,220033.97
1633,171194.34
1634,187447.64
1635,178868.72
1636,162939.3
1637,196774.6
1638,175800.3
1639,170418.62
1640,225178.33
1641,172198.08
1642,235383.97
1643,228702.72
1644,235662.58
1645,207409.36
1646,153242.0
1647,156994.62
1648,138853.12
1649,144950.92
1650,103704.984
1651,119863.58
1652,111208.14
1653,99463.47
1654,147785.17
1655,144891.3
1656,149353.38
1657,139116.53
1658,155016.62
1659,126406.86
1660,163858.17
1661,508366.44
1662,371474.06
1663,358975.66
1664,537795.2
1665,299322.22
1666,337611.53
1667,340142.94
1668,366832.1
1669,311515.1
1670,348071.2
1671,284636.66
1672,405295.7
1673,294891.22
1674,238646.48
1675,183997.56
1676,201962.88
1677,213763.9
1678,489405.7
1679,357605.4
1680,349550.94
1681,243291.56
1682,302090.25
1683,175734.42
1684,179366.73
1685,187763.3
1686,179118.22
1687,174091.89
1688,196571.23
1689,200245.6
1690,201931.77
1691,202690.81
1692,253319.02
1693,164114.86
1694,181164.45
1695,169270.06
1696,270812.25
1697,165670.86
1698,308886.0
1699,343636.22
1700,255090.44
1701,266035.2
1702,253664.97
1703,237172.64
1704,258016.62
1705,265802.44
1706,398697.25
1707,221997.81
1708,198726.64
1709,285190.62
1710,230612.81
1711,272180.28
1712,271122.9
1713,246013.55
1714,222270.52
1715,222426.38
1716,179106.92
1717,178572.34
1718,136054.77
1719,190946.6
1720,246163.58
1721,169153.66
1722,133491.12
1723,168066.16
1724,194998.23
1725,248663.52
1726,197238.8
1727,169112.48
1728,200807.33
1729,161100.44
1730,167589.97
1731,121283.266
1732,128818.61
1733,113631.09
1734,128344.73
1735,146725.95
1736,112022.81
1737,278402.84
1738,234049.06
1739,262990.8
1740,267463.56
1741,219093.28
1742,162008.48
1743,175794.66
1744,319546.84
1745,202211.58
1746,212155.77
1747,228869.48
1748,216895.36
1749,160133.44
1750,132293.23
1751,263425.88
1752,130921.625
1753,142762.98
1754,177295.02
1755,156993.72
